"LANGUAGE","Nederlands","Language name (in native language)."
"LANGUAGE_CHOICE","Kies taal","Heading for language selection menu."
"LANGUAGE_GAME","Gebruik speltaal","Default selection in language selection menu."
"NOTE_CLOSE","Sluiten","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Laat niet opnieuw zien","Notification button text - don't show this notification again."
"NO","Nee","Notification button text - don't perform this action."
"YES","Ja","Notification button text - perfom this action."
"PRESS_ANY_KEY","Druk op een toets","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","Mod conflict gedetecteerd!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Dit betekent dat de mod niet kan functioneren en is gestopt.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","De mods waarmee conflicten zijn:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","De mod was niet in staat om zijn vereiste Harmony patches toe te passen.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Mogelijke oorzaken van dit probleem zijn:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","De benodigde Harmony 2 mod afhankelijkheid is niet geïnstalleerd","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Een oude en/of beschadigde mod voorkomt dat Harmony 2 naar behoren kan functioneren","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Een andere mod kan proberen een conflicterende Harmony patch toe te passen","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"DETAIL_LOGGING","Maakt gedetailleerde foutopsporingslogging mogelijk","Option to record more detail in game log"
