"LANGUAGE","Slovenčina","Language name (in native language)."
"LANGUAGE_CHOICE","Nastaviť jazyk","Heading for language selection menu."
"LANGUAGE_GAME","Použiť jazyk hry","Default selection in language selection menu."
"NOTE_CLOSE","Zavrieť","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Viac nezobrazovať","Notification button text - don't show this notification again."
"NO","Nie","Notification button text - don't perform this action."
"YES","Áno","Notification button text - perfom this action."
"PRESS_ANY_KEY","Stlačte ľubovoľnú klávesu","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","Zistený konflikt medzi módmi!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","To znamená, že mód nie je schopný fungovať a vypol sa.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Konfliktné módy sú:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","Mód nedokázal správne použiť požadované Harmony záplaty.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Medzi možné príčiny tohto problému patria:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","Požadovaný mód Harmony 2 nie je nainštalovaný","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Starý a/alebo poškodený mód brání správnemu fungovaniu Harmony 2","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Iný mód sa možno pokúša použiť konfliktnú Harmony záplatu","Possible cause of Harmony error - two mods trying to patch the same thing at once."
