"LANGUAGE","Türkçe","Language name (in native language)."
"LANGUAGE_CHOICE","Dili seç","Heading for language selection menu."
"LANGUAGE_GAME","Sistem dilini kullan","Default selection in language selection menu."
"NOTE_CLOSE","Kapat","Notification button text - closes the notification."
"NOTE_DONTSHOWAGAIN","Bir daha gösterme","Notification button text - don't show this notification again."
"NO","Hayır","Notification button text - don't perform this action."
"YES","Evet","Notification button text - perfom this action."
"PRESS_ANY_KEY","Herhangi bir tuşa basın","Shown when awaiting user input when changing a key setting."
"CONFLICT_DETECTED","Mod çakışması saptandı!","Warning message that a mod conflict was detected."
"UNABLE_TO_OPERATE","Bu mod bu şekilde kullanılamadığı için kapatıldı.","Warning message letting the user know that the mod can't work."
"CONFLICTING_MODS","Çakışan mod'lar:","Part of the mod conflict warning notification - header for the list of conflicting mods."
"HARMONY_ERROR","The mod was unable to properly apply its required Harmony patches.","Warning message that a patching problem was detected, and the mod can't operate."
"HARMONY_PROBLEM_CAUSES","Bu problemin olağan nedenleri şunları içermektedir:","Header for list of possible causes of Harmony errors."
"HARMONY_NOT_INSTALLED","Gerekli Harmony 2 mod bağımlılığı yüklenmedi","Possible cause of Harmony error - Harmony not installed."
"HARMONY_MOD_ERROR","Eski ve/veya arızalı bir mod, Harmony 2'nin düzgün çalışmasını engelliyor","Possible cause of Harmony error - a broken mod (not this one) can cause things to stop working."
"HARMONY_MOD_CONFLICT","Another mod may be trying to apply a conflicting Harmony patch","Possible cause of Harmony error - two mods trying to patch the same thing at once."
"DETAIL_LOGGING","Ayrıntılı hata ayıklama kayıtlarını etkinleştir","Option to record more detail in game log"
